time_s,stage,baro_alt_m,baro_pres_hpa,gps_alt_m,gps_lat_deg,gps_lon_deg,gps_vel_z_m_s,gps_sat_count
10.533,0,0.00,993.37,-17.00,0.0000000,0.0000000,-0.00,0
12.538,0,0.00,993.37,-17.00,0.0000000,0.0000000,-0.00,0
14.542,0,-1.44,993.54,-17.00,0.0000000,0.0000000,-0.00,0
17.036,0,0.25,993.34,-17.00,0.0000000,0.0000000,-0.00,0
19.501,0,1.35,993.21,-17.00,0.0000000,0.0000000,-0.00,0
21.508,0,-1.52,993.55,-17.00,0.0000000,0.0000000,-0.00,0
23.530,0,-0.51,993.43,-17.00,0.0000000,0.0000000,-0.00,0
26.058,0,-0.51,993.43,-17.00,0.0000000,0.0000000,-0.00,0
29.111,0,-1.18,993.51,-17.00,0.0000000,0.0000000,-0.00,0
31.558,0,-0.85,993.47,-17.00,0.0000000,0.0000000,-0.00,0
33.889,0,0.85,993.27,-17.00,0.0000000,0.0000000,-0.00,0
36.537,0,-1.27,993.52,-17.00,0.0000000,0.0000000,-0.00,0
38.537,0,0.85,993.27,-17.00,0.0000000,0.0000000,-0.00,0
40.578,0,0.51,993.31,-17.00,0.0000000,0.0000000,-0.00,0
42.942,0,-1.61,993.56,-17.00,0.0000000,0.0000000,-0.00,0
45.964,0,-0.93,993.48,-17.00,0.0000000,0.0000000,-0.00,0
49.032,0,1.86,993.15,-17.00,0.0000000,0.0000000,-0.00,0
51.141,0,-2.03,993.61,-17.00,0.0000000,0.0000000,-0.00,0
53.538,0,-1.01,993.49,-17.00,0.0000000,0.0000000,-0.00,0
55.545,0,-1.35,993.53,-17.00,0.0000000,0.0000000,-0.00,0
57.868,0,1.78,993.16,7094.67,35.2125206,-56.3836288,-0.00,0
59.892,0,-1.10,993.50,7625.72,36.7263985,-55.5168076,-0.00,0
61.916,0,0.34,993.33,7445.07,36.2143517,-55.8131943,-0.00,0
64.565,0,0.00,993.37,7860.88,37.3889236,-55.1253433,-0.00,0
66.572,0,0.25,993.34,8105.87,38.0747185,-54.7130089,-0.00,0
68.578,0,0.25,993.34,9470.79,41.8350830,-52.2881279,-0.00,0
70.924,0,-1.52,993.55,256.23,39.6968117,-78.1955643,-0.00,3
73.049,0,0.25,993.34,256.28,39.6968193,-78.1955719,-0.00,3
75.904,0,-1.18,993.51,256.23,39.6968231,-78.1955795,-0.00,3
